Unique.ID,sl_micron,mean_age,Cruise,DAY,MONTH,YEAR,HAUL_ID,HAUL_NAME,capdate,hatch.date,hatch.date.noYear,hdate,measured_sl_micron,station
180,8942.8658,27.67,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/16/2017,16-Apr,106,8054,32
176,9263.462,36.67,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/7/2017,7-Apr,97,8360,32
177,9982.1842,37,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/7/2017,7-Apr,97,9046,32
179,11042.4566,31.33,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/12/2017,12-Apr,102,10058,32
160,7490.7536,15,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/15/2009,15-May,135,6668,39
161,8146.6138,11,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/19/2009,19-May,139,7294,39
159,8578.2662,16.5,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/13/2009,13-May,133,7706,39
158,8722.8488,20.33,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/9/2009,9-May,129,7844,39
157,10121.5283,26,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/4/2009,4-May,124,9179,39
74,6290.0894,11,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,5/8/2013,8-May,128,5522,40
76,6744.7912,14.67,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,5/4/2013,4-May,124,5956,40
78,7098.9138,13.5,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,5/5/2013,5-May,125,6294,40
75,8500.7364,17.33,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,5/1/2013,1-May,121,7632,40
77,9565.1996,30.33,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,4/18/2013,18-Apr,108,8648,40
150,6000.9242,11.33,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/18/2009,18-May,138,5246,46
148,6640.0212,9,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/21/2009,21-May,141,5856,46
152,7557.8064,13,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/17/2009,17-May,137,6732,46
151,8864.2883,14,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/16/2009,16-May,136,7979,46
149,9292.7976,15,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/15/2009,15-May,135,8388,46
146,7074.8167,10.5,4DY09,30,5,2009,4DY09 47 1 60BON 1,1,5/30/2009,5/19/2009,19-May,139,6271,47
147,8701.8948,15.67,4DY09,30,5,2009,4DY09 47 1 60BON 1,1,5/30/2009,5/14/2009,14-May,134,7824,47
181,10257.7293,36.33,DY17-05,15,5,2017,DY17-05 48 1 60BON 1,1,5/15/2017,4/8/2017,8-Apr,98,9309,48
