Unique.ID,dayoflife,oto_inc_micron,sl_micron,capdate,Date,hatch.date,hatch.date.noYear,hdate,YEAR,age,yr_f,doy,TempApplied,hw,cum_OR,OR_cpt,sl_mm,BC_estimate,daily_gr
100,5,1.264,12599.3388,5/30/2010,5/3/2010,4/28/2010,28-Apr,118,2010,31.5,2010,123,5.657139972,before HW,16.624,77.581,12.5993388,4.948027,0.146920455
100,6,1.816,12599.3388,5/30/2010,5/4/2010,4/28/2010,28-Apr,118,2010,31.5,2010,124,5.282622956,before HW,18.44,77.581,12.5993388,5.175970997,0.21108192
100,7,1.758,12599.3388,5/30/2010,5/5/2010,4/28/2010,28-Apr,118,2010,31.5,2010,125,5.323588277,before HW,20.198,77.581,12.5993388,5.396634844,0.204340317
100,8,2.874,12599.3388,5/30/2010,5/6/2010,4/28/2010,28-Apr,118,2010,31.5,2010,126,5.365702365,before HW,23.072,77.581,12.5993388,5.757378813,0.33405806
100,9,2.53,12599.3388,5/30/2010,5/7/2010,4/28/2010,28-Apr,118,2010,31.5,2010,127,5.409010559,before HW,25.602,77.581,12.5993388,6.074943963,0.29407338
101,1,1.745,10729.1943,5/29/2010,5/3/2010,5/2/2010,2-May,122,2010,27,2010,123,5.657139972,before HW,9.645,57.468,10.7291943,4.089926374,0.219293578
101,10,1.464,10729.1943,5/29/2010,5/12/2010,5/2/2010,2-May,122,2010,27,2010,132,5.645049982,before HW,25.196,57.468,10.7291943,6.248871976,0.1839804
101,11,1.368,10729.1943,5/29/2010,5/13/2010,5/2/2010,2-May,122,2010,27,2010,133,5.69647493,before HW,26.564,57.468,10.7291943,6.438791439,0.171916111
101,12,1.648,10729.1943,5/29/2010,5/14/2010,5/2/2010,2-May,122,2010,27,2010,134,5.749411356,before HW,28.212,57.468,10.7291943,6.667583308,0.207103619
101,13,1.69,10729.1943,5/29/2010,5/15/2010,5/2/2010,2-May,122,2010,27,2010,135,5.8039046,before HW,29.902,57.468,10.7291943,6.902206038,0.212381746
101,14,2.272,10729.1943,5/29/2010,5/16/2010,5/2/2010,2-May,122,2010,27,2010,136,5.86,before HW,32.174,57.468,10.7291943,7.217627838,0.285521495
101,15,2.21,10729.1943,5/29/2010,5/17/2010,5/2/2010,2-May,122,2010,27,2010,137,5.917724064,before HW,34.384,57.468,10.7291943,7.524442176,0.277729975
101,16,2.161,10729.1943,5/29/2010,5/18/2010,5/2/2010,2-May,122,2010,27,2010,138,5.977027976,before HW,36.545,57.468,10.7291943,7.824453844,0.271572161
101,17,2.624,10729.1943,5/29/2010,5/19/2010,5/2/2010,2-May,122,2010,27,2010,139,6.037844089,before HW,39.169,57.468,10.7291943,8.18874381,0.329757219
101,18,2.196,10729.1943,5/29/2010,5/20/2010,5/2/2010,2-May,122,2010,27,2010,140,6.100104754,before HW,41.365,57.468,10.7291943,8.493614528,0.2759706
101,19,2.62,10729.1943,5/29/2010,5/21/2010,5/2/2010,2-May,122,2010,27,2010,141,6.163742325,before HW,43.985,57.468,10.7291943,8.857349174,0.329254541
101,2,1.872,10729.1943,5/29/2010,5/4/2010,5/2/2010,2-May,122,2010,27,2010,124,5.666742016,before HW,11.517,57.468,10.7291943,4.349816166,0.235253626
101,20,2.078,10729.1943,5/29/2010,5/22/2010,5/2/2010,2-May,122,2010,27,2010,142,6.228689154,before HW,46.063,57.468,10.7291943,9.145837951,0.261141578
101,21,2.252,10729.1943,5/29/2010,5/23/2010,5/2/2010,2-May,122,2010,27,2010,143,6.294877594,before HW,48.315,57.468,10.7291943,9.45848315,0.283008101
101,22,1.75,10729.1943,5/29/2010,5/24/2010,5/2/2010,2-May,122,2010,27,2010,144,6.362239997,before HW,50.065,57.468,10.7291943,9.701435681,0.219921926
101,23,2.017,10729.1943,5/29/2010,5/25/2010,5/2/2010,2-May,122,2010,27,2010,145,6.430708715,before HW,52.082,57.468,10.7291943,9.981455826,0.253475728
101,24,1.774,10729.1943,5/29/2010,5/26/2010,5/2/2010,2-May,122,2010,27,2010,146,6.500216102,before HW,53.856,57.468,10.7291943,10.22774028,0.222937998
101,25,1.669,10729.1943,5/29/2010,5/27/2010,5/2/2010,2-May,122,2010,27,2010,147,6.57069451,before HW,55.525,57.468,10.7291943,10.45944758,0.209742683
101,26,1.943,10729.1943,5/29/2010,5/28/2010,5/2/2010,2-May,122,2010,27,2010,148,6.642076291,before HW,57.468,57.468,10.7291943,10.7291943,0.244176173
101,3,1.752,10729.1943,5/29/2010,5/5/2010,5/2/2010,2-May,122,2010,27,2010,125,5.676091445,before HW,13.269,57.468,10.7291943,4.593046357,0.220173265
101,4,1.9,10729.1943,5/29/2010,5/6/2010,5/2/2010,2-May,122,2010,27,2010,126,5.685159369,before HW,15.169,57.468,10.7291943,4.85682339,0.238772377
101,5,1.917,10729.1943,5/29/2010,5/7/2010,5/2/2010,2-May,122,2010,27,2010,127,5.693916899,before HW,17.086,57.468,10.7291943,5.122960534,0.240908761
